# x  A119  A133  A1650  A1651  A1781  A1795  A1991  A2029  A2033  A2065  A2142  A2495  A2597  A2670  A780  A85  MKW3S  ZWCL1215
0.0750  0.9516  1.1905  0.8166  0.7485  0.9207  1.2260  1.0541  0.9878  1.0373  1.0280  1.2961  1.1559  0.9661  1.0490  0.7199  1.1517  0.9539  0.8587
0.2250  1.1285  1.0983  1.0315  1.1004  0.9175  1.2519  1.1378  1.1633  1.1651  0.9439  1.0821  0.9858  0.9952  1.1003  0.9132  1.0380  0.9461  0.8619
0.3750  1.0840  1.0587  1.0847  1.0402  1.0130  1.2622  0.9804  1.1367  1.0969  0.9185  1.0194  1.0234  1.0349  0.9897  0.9375  1.0848  0.9574  0.8997
0.5250  1.0401  1.0313  1.1464  1.0625  0.9913  1.1654  1.1050  1.0879  1.0087  0.9388  1.0574  1.0673  1.1269  1.0772  0.9749  1.0551  0.9838  0.9143
0.6750  1.1103  1.0132  1.1069  1.0678  0.9723  1.1886  1.0709  1.0361  1.0279  0.9794  0.9994  0.9734  1.0826  1.0915  1.0197  1.0818  1.0098  0.9412
0.8250  1.0593  1.0763  1.2234  0.9682  0.9916  1.2262  1.0736  1.0626  1.0750  1.0676  1.0284  1.0179  1.0473  1.0291  0.9668  1.1205  1.0539  0.9390
0.9750  1.0240  1.1038  1.2493  1.0041  1.0765  1.1794  1.0603  1.0441  1.0287  1.1953  1.0761  1.0346  1.1174  0.9791  0.9831  1.0946  1.0882  0.9598
1.1250  1.0044  1.0973  1.1578  0.9839  1.1190  1.1617  1.0323  1.0294  1.0475  1.2815  1.0988  1.0258  1.0568  0.9898  0.9313  1.0865  1.0238  0.9050
1.2750  0.0000  1.0297  1.1339  1.0306  1.0551  1.0938  0.9816  0.9979  1.1366  1.2151  1.0506  1.0075  1.1073  1.0168  0.9453  1.0405  0.0000  0.9170
1.4250  0.0000  1.0533  1.0468  1.0213  1.0869  1.1111  0.9749  1.0544  1.1213  1.1477  1.0563  1.0175  1.1572  1.0897  0.9203  0.9967  0.0000  0.9292
1.5750  0.0000  1.0445  1.0293  0.9656  1.1332  1.1621  1.0060  1.0036  1.1641  1.1448  1.0558  1.0088  1.1503  1.0717  0.0000  0.0000  0.0000  0.9811
1.7250  0.0000  0.0000  1.1379  1.0119  1.1506  1.0976  0.0000  0.9991  1.2437  1.1330  1.0926  1.0521  1.1378  1.0444  0.0000  0.0000  0.0000  1.0073
1.8750  0.0000  0.0000  1.1260  0.9833  0.0000  0.0000  0.0000  0.9790  1.1704  1.0743  1.1391  1.0320  1.0712  1.0768  0.0000  0.0000  0.0000  0.9470
2.0250  0.0000  0.0000  1.1464  0.9904  0.0000  0.0000  0.0000  0.9911  1.2247  1.0322  1.1761  1.0130  1.0742  1.0764  0.0000  0.0000  0.0000  0.9423
2.1750  0.0000  0.0000  1.1864  1.0117  0.0000  0.0000  0.0000  0.0000  1.1331  0.0000  1.2015  0.9376  1.0449  0.0000  0.0000  0.0000  0.0000  0.0000
2.3250  0.0000  0.0000  1.1118  1.0171  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.1423  0.0000  1.0762  0.0000  0.0000  0.0000  0.0000  0.0000
2.4750  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  1.1212  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
2.6250  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
2.7750  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
2.9250  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
