# m  n  i  j   cov_mnij  corr_mnij  icov_mnij  I_mnij  mu_mnij
  7.000    7.000    0.020    0.020   6.573e+03   1.000e+00   1.521e-04   1.000e+00   7.404e-01
  7.000    7.000    0.020    0.033   1.969e+01   4.895e-03  -1.216e-06  -2.871e-19   7.468e-01
  7.000    7.000    0.020    0.054  -6.309e-01  -2.588e-04   9.901e-08   3.762e-20   7.379e-01
  7.000    7.000    0.020    0.090  -3.752e+00  -2.531e-03   1.663e-06   6.336e-19   7.430e-01
  7.000    7.000    0.020    0.149  -1.779e+00  -1.950e-03   2.064e-06   2.123e-18   7.460e-01
  7.000    7.000    0.020    0.246   6.304e-01   1.136e-03  -1.877e-06   1.655e-18   7.442e-01
  7.000    7.000    0.020    0.407   2.789e-01   7.734e-04  -2.303e-06  -8.916e-19   7.454e-01
  7.000    7.000    0.020    0.672   5.701e-02   2.046e-04  -1.597e-06  -2.907e-19   7.465e-01
  7.000    7.000    0.020    1.110  -3.804e-01  -1.152e-03   9.261e-06   1.323e-17   7.456e-01
  7.000    7.000    0.020    1.835   1.873e-01   3.654e-04  -5.891e-06  -1.857e-18   7.428e-01
  7.000    7.000    0.020    3.033  -8.140e-01  -7.614e-04   1.445e-06  -5.175e-19   7.514e-01
  7.000    7.000    0.033    0.020   1.969e+01   4.895e-03  -1.216e-06  -9.141e-20   7.468e-01
  7.000    7.000    0.033    0.033   2.462e+03   1.000e+00   4.061e-04   1.000e+00   7.408e-01
  7.000    7.000    0.033    0.054  -3.988e-02  -2.672e-05   7.295e-09   9.162e-21   7.472e-01
  7.000    7.000    0.033    0.090  -9.597e-03  -1.058e-05  -4.080e-08  -1.681e-22   7.440e-01
  7.000    7.000    0.033    0.149  -3.781e-01  -6.771e-04   1.164e-06   6.229e-19   7.443e-01
  7.000    7.000    0.033    0.246   4.307e-01   1.268e-03  -3.778e-06  -4.362e-18   7.448e-01
  7.000    7.000    0.033    0.407  -2.698e-01  -1.222e-03   4.804e-06   2.638e-18   7.456e-01
  7.000    7.000    0.033    0.672  -9.889e-02  -5.798e-04  -2.743e-06   1.492e-18   7.450e-01
  7.000    7.000    0.033    1.110  -4.615e-01  -2.283e-03   1.337e-05   8.256e-19   7.431e-01
  7.000    7.000    0.033    1.835  -3.951e-01  -1.259e-03  -1.093e-06  -1.285e-18   7.402e-01
  7.000    7.000    0.033    3.033  -1.755e-01  -2.682e-04  -4.851e-07   2.651e-19   7.400e-01
  7.000    7.000    0.054    0.020  -6.309e-01  -2.588e-04   9.901e-08   4.689e-21   7.379e-01
  7.000    7.000    0.054    0.033  -3.988e-02  -2.672e-05   7.295e-09   5.194e-21   7.472e-01
  7.000    7.000    0.054    0.054   9.045e+02   1.000e+00   1.106e-03   1.000e+00   7.433e-01
  7.000    7.000    0.054    0.090  -9.917e-01  -1.803e-03   4.089e-06  -7.475e-20   7.454e-01
  7.000    7.000    0.054    0.149   3.698e+00   1.093e-02  -3.185e-05   5.110e-19   7.474e-01
  7.000    7.000    0.054    0.246  -1.348e+00  -6.545e-03   3.274e-05  -7.551e-18   7.475e-01
  7.000    7.000    0.054    0.407  -1.553e-02  -1.161e-04   7.137e-06   5.043e-19   7.476e-01
  7.000    7.000    0.054    0.672   4.654e-01   4.502e-03  -5.008e-05  -8.303e-18   7.476e-01
  7.000    7.000    0.054    1.110   9.494e-02   7.749e-04   2.370e-05  -3.343e-18   7.459e-01
  7.000    7.000    0.054    1.835   4.213e-01   2.216e-03  -1.640e-05   3.829e-18   7.437e-01
  7.000    7.000    0.054    3.033   1.303e-01   3.286e-04   2.791e-06  -6.613e-20   7.460e-01
  7.000    7.000    0.090    0.020  -3.752e+00  -2.531e-03   1.663e-06  -1.311e-19   7.430e-01
  7.000    7.000    0.090    0.033  -9.597e-03  -1.058e-05  -4.080e-08  -2.335e-21   7.440e-01
  7.000    7.000    0.090    0.054  -9.917e-01  -1.803e-03   4.089e-06  -3.528e-19   7.454e-01
  7.000    7.000    0.090    0.090   3.344e+02   1.000e+00   2.994e-03   1.000e+00   7.443e-01
  7.000    7.000    0.090    0.149   6.038e+00   2.934e-02  -1.411e-04  -4.827e-18   7.473e-01
  7.000    7.000    0.090    0.246  -1.913e+00  -1.528e-02   1.213e-04  -2.405e-18   7.470e-01
  7.000    7.000    0.090    0.407  -4.414e-03  -5.427e-05   1.099e-05  -9.267e-20   7.475e-01
  7.000    7.000    0.090    0.672   2.395e-01   3.811e-03  -7.480e-05  -2.773e-19   7.474e-01
  7.000    7.000    0.090    1.110   7.932e-03   1.065e-04   5.820e-05  -7.890e-19   7.457e-01
  7.000    7.000    0.090    1.835   3.349e-01   2.897e-03  -3.090e-05  -1.352e-18   7.427e-01
  7.000    7.000    0.090    3.033   6.813e-01   2.826e-03  -7.003e-06  -1.987e-19   7.510e-01
  7.000    7.000    0.149    0.020  -1.779e+00  -1.950e-03   2.064e-06   1.078e-19   7.460e-01
  7.000    7.000    0.149    0.033  -3.781e-01  -6.771e-04   1.164e-06   1.841e-20   7.443e-01
  7.000    7.000    0.149    0.054   3.698e+00   1.093e-02  -3.185e-05   4.144e-19   7.474e-01
