# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -2.804e+01     2.863e+01     5.015e+01     8.413e+01     8.527e-01
   4.374e-02    -5.487e+00    -5.338e+01     3.017e+01     5.110e+01     8.513e-01
   7.228e-02    -7.113e+00    -2.167e+01     1.806e+01     3.074e+01     8.512e-01
   1.195e-01     4.998e+00     1.725e+00     1.079e+01     1.857e+01     8.500e-01
   1.974e-01     1.187e+01     1.211e+01     6.506e+00     1.139e+01     8.486e-01
   3.263e-01     3.479e+00     6.011e+00     3.947e+00     6.905e+00     8.474e-01
   5.392e-01     6.641e+00     2.758e+00     2.419e+00     4.470e+00     8.463e-01
   8.911e-01     1.406e+01     5.693e+00     1.543e+00     3.451e+00     8.449e-01
   1.473e+00     3.070e+01     6.816e+00     1.113e+00     4.089e+00     8.432e-01
   2.434e+00     5.640e+01     3.556e+00     1.148e+00     6.314e+00     8.410e-01
   4.022e+00     6.240e+01     3.959e-01     2.862e+00     1.320e+01     8.437e-01
