# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -2.048e+01     2.992e+01     4.585e+01     8.107e+01     8.427e-01
   4.374e-02     3.493e+00    -5.515e+01     2.799e+01     4.962e+01     8.425e-01
   7.228e-02    -5.204e+00    -1.907e+01     1.701e+01     3.008e+01     8.439e-01
   1.195e-01     2.802e+00     2.273e+00     1.028e+01     1.829e+01     8.442e-01
   1.974e-01     9.166e+00     1.215e+01     6.266e+00     1.125e+01     8.440e-01
   3.263e-01     3.122e+00     6.082e+00     3.839e+00     6.846e+00     8.441e-01
   5.392e-01     6.284e+00     2.951e+00     2.373e+00     4.448e+00     8.440e-01
   8.911e-01     1.337e+01     5.763e+00     1.525e+00     3.437e+00     8.436e-01
   1.473e+00     2.977e+01     6.724e+00     1.105e+00     4.074e+00     8.426e-01
   2.434e+00     5.528e+01     3.387e+00     1.144e+00     6.322e+00     8.408e-01
   4.022e+00     6.208e+01     4.589e-01     2.857e+00     1.319e+01     8.436e-01
