# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -2.529e-03     2.871e-03     5.892e-03     9.904e-03     8.527e-01
   4.374e-02    -6.668e-04    -5.849e-03     3.540e-03     6.010e-03     8.513e-01
   7.228e-02    -7.882e-04    -2.778e-03     2.119e-03     3.610e-03     8.512e-01
   1.195e-01     8.148e-04     2.561e-04     1.269e-03     2.186e-03     8.500e-01
   1.974e-01     1.299e-03     1.408e-03     7.661e-04     1.351e-03     8.486e-01
   3.263e-01     4.749e-04     7.686e-04     4.657e-04     8.165e-04     8.474e-01
   5.392e-01     7.392e-04     2.906e-04     2.858e-04     5.292e-04     8.463e-01
   8.911e-01     1.652e-03     6.481e-04     1.839e-04     4.145e-04     8.449e-01
   1.473e+00     3.703e-03     8.020e-04     1.355e-04     5.194e-04     8.432e-01
   2.434e+00     7.210e-03     4.357e-04     1.480e-04     8.386e-04     8.410e-01
   4.022e+00     8.930e-03     1.239e-04     4.148e-04     1.856e-03     8.437e-01
