# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -2.016e-03     2.997e-03     5.404e-03     9.563e-03     8.427e-01
   4.374e-02     4.774e-04    -6.039e-03     3.294e-03     5.846e-03     8.425e-01
   7.228e-02    -5.784e-04    -2.491e-03     2.000e-03     3.536e-03     8.439e-01
   1.195e-01     4.924e-04     3.324e-04     1.211e-03     2.154e-03     8.442e-01
   1.974e-01     1.004e-03     1.413e-03     7.387e-04     1.336e-03     8.440e-01
   3.263e-01     4.201e-04     7.717e-04     4.533e-04     8.100e-04     8.441e-01
   5.392e-01     6.974e-04     3.135e-04     2.806e-04     5.268e-04     8.440e-01
   8.911e-01     1.571e-03     6.562e-04     1.818e-04     4.131e-04     8.436e-01
   1.473e+00     3.590e-03     7.916e-04     1.347e-04     5.179e-04     8.426e-01
   2.434e+00     7.064e-03     4.163e-04     1.475e-04     8.403e-04     8.408e-01
   4.022e+00     8.883e-03     1.332e-04     4.141e-04     1.855e-03     8.436e-01
