# ro  gplus  gcross  err  errcov  mu
   2.646e-02     0.000e+00    -2.252e-02     3.381e-02     6.080e-02     1.002e+03
   4.374e-02     0.000e+00     1.220e-02     2.163e-02     3.865e-02     2.480e+03
   7.228e-02     0.000e+00    -1.583e-03     1.227e-02     2.227e-02     7.652e+03
   1.195e-01     0.000e+00     1.677e-03     7.601e-03     1.364e-02     2.002e+04
   1.974e-01     0.000e+00     1.875e-03     4.564e-03     8.262e-03     5.539e+04
   3.263e-01     0.000e+00    -1.131e-04     2.782e-03     5.246e-03     1.493e+05
   5.392e-01     0.000e+00    -1.167e-03     1.690e-03     3.528e-03     4.040e+05
   8.911e-01     0.000e+00    -1.116e-03     1.067e-03     2.369e-03     1.013e+06
   1.473e+00     0.000e+00    -1.326e-04     7.398e-04     1.585e-03     2.108e+06
   2.434e+00     0.000e+00    -8.575e-04     6.029e-04     2.229e-03     3.177e+06
   4.022e+00     0.000e+00    -4.302e-04     1.065e-03     4.444e-03     1.019e+06
