# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -3.184e-02    -1.969e-02     4.204e-02     7.325e-02     6.827e+02
   4.374e-02    -1.050e-02    -4.036e-02     2.971e-02     5.125e-02     1.372e+03
   7.228e-02     1.140e-02    -7.504e-04     1.701e-02     2.999e-02     4.103e+03
   1.195e-01     8.166e-03    -3.514e-03     1.037e-02     1.776e-02     1.115e+04
   1.974e-01    -3.163e-03     5.852e-03     6.244e-03     1.048e-02     3.074e+04
   3.263e-01    -4.518e-03     1.804e-03     3.820e-03     6.604e-03     8.226e+04
   5.392e-01    -2.179e-03     1.240e-04     2.337e-03     4.003e-03     2.198e+05
   8.911e-01     5.332e-03    -5.811e-04     1.403e-03     2.918e-03     6.089e+05
   1.473e+00     5.259e-03     2.899e-03     9.066e-04     2.684e-03     1.460e+06
   2.434e+00     4.997e-03     9.253e-04     7.953e-04     3.552e-03     1.900e+06
   4.022e+00     4.587e-03     6.778e-03     2.231e-03     6.682e-03     2.417e+05
