# ro  gplus  gcross  err  errcov  mu
   2.646e-02    -5.227e-05    -1.793e-02     2.266e-02     4.040e-02     2.281e+03
   4.374e-02    -1.700e-02    -3.422e-03     1.367e-02     2.458e-02     6.257e+03
   7.228e-02    -6.780e-03    -6.846e-03     8.215e-03     1.474e-02     1.742e+04
   1.195e-01     7.235e-03    -6.710e-04     5.115e-03     9.304e-03     4.483e+04
   1.974e-01     2.841e-03    -1.988e-03     3.203e-03     6.240e-03     1.147e+05
   3.263e-01    -1.071e-03     1.822e-03     2.040e-03     3.827e-03     2.823e+05
   5.392e-01     1.324e-03     1.144e-03     1.260e-03     2.204e-03     7.393e+05
   8.911e-01     1.319e-03     1.247e-03     8.378e-04     1.739e-03     1.672e+06
   1.473e+00     6.973e-04     1.425e-03     7.200e-04     2.571e-03     2.264e+06
   2.434e+00     4.748e-03    -1.059e-03     1.321e-03     4.745e-03     6.721e+05
   4.022e+00           nan           nan           nan           nan     0.000e+00
