# ro  gplus  gcross  err  errcov  mu
   2.646e-02     5.594e-02     4.973e-02     4.078e-02     6.795e-02     7.569e+02
   4.374e-02    -2.027e-02     5.341e-03     2.473e-02     4.226e-02     2.035e+03
   7.228e-02     1.115e-04    -2.771e-02     1.455e-02     2.482e-02     5.894e+03
   1.195e-01     1.554e-02     6.898e-03     8.954e-03     1.558e-02     1.564e+04
   1.974e-01    -5.105e-04     1.284e-02     5.439e-03     9.308e-03     4.227e+04
   3.263e-01    -4.324e-03    -1.240e-03     3.332e-03     5.632e-03     1.124e+05
   5.392e-01     2.954e-03     7.732e-04     2.063e-03     3.584e-03     2.932e+05
   8.911e-01     1.259e-03     1.193e-03     1.302e-03     2.178e-03     7.366e+05
   1.473e+00     5.090e-03     4.401e-04     8.882e-04     2.263e-03     1.586e+06
   2.434e+00     1.009e-02    -4.318e-04     8.184e-04     3.522e-03     1.872e+06
   4.022e+00     2.034e-02     7.728e-04     1.965e-03     6.286e-03     3.257e+05
