# cluster  IDs
A1781       37848,40302,47842,50000,53157,54665,55009,56026,57782,59142,59156,70308,74523,74926,77428,77875,78221,79326,79774,80382
A1781       37848,40302,47842,50000,53157,54665,55009,56026,57782,59142,59156,70308,74523,74926,77428,77875,78221,79326,79774,80382
A1781       37848,40302,47842,50000,53157,54665,55009,56026,57782,59142,59156,70308,74523,74926,77428,77875,78221,79326,79774,80382
A1781       37848,40302,47842,50000,53157,54665,55009,56026,57782,59142,59156,70308,74523,74926,77428,77875,78221,79326,79774,80382
A1781       37848,40302,47842,50000,53157,54665,55009,56026,57782,59142,59156,70308,74523,74926,77428,77875,78221,79326,79774,80382
A1781       37848,40302,47842,50000,53157,54665,55009,56026,57782,59142,59156,70308,74523,74926,77428,77875,78221,79326,79774,80382
A2029       49550,59325,62125,63789,65008,68722,75064,78298,82165,86974,87002,90000,90024,90423,90685,91932,92424,95437,97282,97370,97528,98274,98819,98886,100028
A2029       49550,59325,62125,63789,65008,68722,75064,78298,82165,86974,87002,90000,90024,90423,90685,91932,92424,95437,97282,97370,97528,98274,98819,98886,100028
A2029       49550,59325,62125,63789,65008,68722,75064,78298,82165,86974,87002,90000,90024,90423,90685,91932,92424,95437,97282,97370,97528,98274,98819,98886,100028
A2029       49550,59325,62125,63789,65008,68722,75064,78298,82165,86974,87002,90000,90024,90423,90685,91932,92424,95437,97282,97370,97528,98274,98819,98886,100028
A1991       33648,34656,39606,44507,48242,51957,54429,54733,56901,57327,57789,57863,58539,61880,68075,69392,70344,71936,72926,73308,73433,74732,74877,76147,77703,78543,78553,78754,80241,82169,88427,94494
A2029       49550,59325,62125,63789,65008,68722,75064,78298,82165,86974,87002,90000,90024,90423,90685,91932,92424,95437,97282,97370,97528,98274,98819,98886,100028
A1991       33648,34656,39606,44507,48242,51957,54429,54733,56901,57327,57789,57863,58539,61880,68075,69392,70344,71936,72926,73308,73433,74732,74877,76147,77703,78543,78553,78754,80241,82169,88427,94494
A2029       49550,59325,62125,63789,65008,68722,75064,78298,82165,86974,87002,90000,90024,90423,90685,91932,92424,95437,97282,97370,97528,98274,98819,98886,100028
A1991       33648,34656,39606,44507,48242,51957,54429,54733,56901,57327,57789,57863,58539,61880,68075,69392,70344,71936,72926,73308,73433,74732,74877,76147,77703,78543,78553,78754,80241,82169,88427,94494
A1991       33648,34656,39606,44507,48242,51957,54429,54733,56901,57327,57789,57863,58539,61880,68075,69392,70344,71936,72926,73308,73433,74732,74877,76147,77703,78543,78553,78754,80241,82169,88427,94494
A1991       33648,34656,39606,44507,48242,51957,54429,54733,56901,57327,57789,57863,58539,61880,68075,69392,70344,71936,72926,73308,73433,74732,74877,76147,77703,78543,78553,78754,80241,82169,88427,94494
A1991       33648,34656,39606,44507,48242,51957,54429,54733,56901,57327,57789,57863,58539,61880,68075,69392,70344,71936,72926,73308,73433,74732,74877,76147,77703,78543,78553,78754,80241,82169,88427,94494
MKW3S       36440,44907,51339,52043,52645,52829,54971,59400,77131,77132,78645,79126,80931,81810,83690,86926,88021,97424,98723,100058,105732,113111,120432
MKW3S       36440,44907,51339,52043,52645,52829,54971,59400,77131,77132,78645,79126,80931,81810,83690,86926,88021,97424,98723,100058,105732,113111,120432
MKW3S       36440,44907,51339,52043,52645,52829,54971,59400,77131,77132,78645,79126,80931,81810,83690,86926,88021,97424,98723,100058,105732,113111,120432
A85         7828,18013,21233,22739,23875,25026,26973,28046,28379,30524,32983,34682,34747,36111,36251,38185,38724,41112,41458,42337,43063,43523,44933,45540,46459,46675,46782,47304,47377,48671,49116,49206,50937,51196,52687,53421,54765,54864,56191,56246,60898,61427,62064,63173,64159,64908,65328,66254,66270,67031,68458,71473,72333,72412,72438,73487,73522,75493,77714,79318,80135,80961,81134,81419,81615,82899,83032,83325,83676,83819,87841,87965,88374,91778,91780,91811,92337,92528,95044,95190,95427,97436,98166,103539,105448,106372,112586,115946,121709,124132,124606,134233,134927
MKW3S       36440,44907,51339,52043,52645,52829,54971,59400,77131,77132,78645,79126,80931,81810,83690,86926,88021,97424,98723,100058,105732,113111,120432
A2670       25801,26880,34171,37216,37396,44221,45525,46965,48938,51413,52112,52525,53569,54027,56020,56974,57100,57817,60325,65085,80299,81105,85569,89403,90354,91197
MKW3S       36440,44907,51339,52043,52645,52829,54971,59400,77131,77132,78645,79126,80931,81810,83690,86926,88021,97424,98723,100058,105732,113111,120432
A133        16440,24045,28306,29849,31149,31593,32757,35388,37247,37509,40616,40821,44887,45376,45947,45995,46366,47547,47845,49499,49862,50515,50640,51806,52546,53703,53943,54833,55340,56762,58075,59138,59184,59431,59516,59910,61767,61995,62103,62638,63530,65583,66543,68093,69547,71936,72443,72559,74975,75966,76052,77396,77760,77921,78118,80461,81048,83139,84847,86910,89350,90138,91287,91494,91728,95378,96229,96570,98704,99980,112363,114005,114305
A85         7828,18013,21233,22739,23875,25026,26973,28046,28379,30524,32983,34682,34747,36111,36251,38185,38724,41112,41458,42337,43063,43523,44933,45540,46459,46675,46782,47304,47377,48671,49116,49206,50937,51196,52687,53421,54765,54864,56191,56246,60898,61427,62064,63173,64159,64908,65328,66254,66270,67031,68458,71473,72333,72412,72438,73487,73522,75493,77714,79318,80135,80961,81134,81419,81615,82899,83032,83325,83676,83819,87841,87965,88374,91778,91780,91811,92337,92528,95044,95190,95427,97436,98166,103539,105448,106372,112586,115946,121709,124132,124606,134233,134927
A2670       25801,26880,34171,37216,37396,44221,45525,46965,48938,51413,52112,52525,53569,54027,56020,56974,57100,57817,60325,65085,80299,81105,85569,89403,90354,91197
MKW3S       36440,44907,51339,52043,52645,52829,54971,59400,77131,77132,78645,79126,80931,81810,83690,86926,88021,97424,98723,100058,105732,113111,120432
A2670       25801,26880,34171,37216,37396,44221,45525,46965,48938,51413,52112,52525,53569,54027,56020,56974,57100,57817,60325,65085,80299,81105,85569,89403,90354,91197
A119        3344,9236,11809,13172,14965,17831,18115,22499,26520,28823,35215,35748,37182,37371,38454,39087,39299,39444,40040,40075,43664,44009,44571,45036,45120,46484,47186,47457,49221,49985,50739,51846,52333,53829,54550,55405,55843,56158,58424,58428,58845,59705,59998,60085,62138,62314,63190,65988,67371,67463,68362,68928,70819,71148,74969,75896,78838,79258,79475,79776,82129,84515,85215,85239,87329,87484,88992,91197,91674,93870,95570,95666,95982,104897,105293,105595,105845,106793,116038,116352,130219,133275
